id,created_at,updated_at,event_type,payload,device_id,uuid,device_type,company_id,Counter,Latitude,Longitude,Internal Temp,External Temp,Internal Pressure,External Pressure,Altitude,External Altitude,Magnetic X-axis,Magnetic Y-axis,Magnetic Z-axis,Acceleration X-axis,Acceleration Y-axis,Acceleration Z-axis,Gyroscope X-axis,Gyroscope Y-axis,Gyroscope Z-axis
3635911,2023-06-08 22:35:36.962371+00,2023-06-08 22:35:36.962372+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""d66x"",""Payload"":""C:286LT:35.1717LG:-119.9159IT:26.5807ET:-2.9905e\u002B181IP:60398.6316EP:-3.4782e\u002B177IA:4156.4278EA:-7.6593e\u002B182MX:477MY:-270MZ:72AX:-1AY:4AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,286,35.1717,-119.9159,26.5807,-2.9905e+181,60398.6316,-3.4782e+177,4156.4278,-7.6593e+182,477,-270,72,-1,4,9,0,0,0
3635912,2023-06-08 22:38:01.899396+00,2023-06-08 22:38:01.899397+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""kiy4"",""Payload"":""C:297LT:35.1645LG:-119.8948IT:25.4377ET:-2.9905e\u002B181IP:55433.2931EP:-3.4782e\u002B177IA:4806.9237EA:-7.6593e\u002B182MX:319MY:-398MZ:74AX:-1AY:4AZ:8GX:1GY:0,GZ:1"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,297,35.1645,-119.8948,25.4377,-2.9905e+181,55433.2931,-3.4782e+177,4806.9237,-7.6593e+182,319,-398,74,-1,4,8,1,0,1
3635913,2023-06-08 22:41:27.190636+00,2023-06-08 22:41:27.190637+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""w8m1"",""Payload"":""C:308LT:35.1620LG:-119.8872IT:25.0476ET:-2.9905e\u002B181IP:54043.4273EP:-3.4782e\u002B177IA:4997.4406EA:-7.6593e\u002B182MX:432MY:-513MZ:102AX:-1AY:4AZ:9GX:0GY:1,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,308,35.1620,-119.8872,25.0476,-2.9905e+181,54043.4273,-3.4782e+177,4997.4406,-7.6593e+182,432,-513,102,-1,4,9,0,1,0
3635914,2023-06-08 22:43:52.225481+00,2023-06-08 22:43:52.225481+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""pe0z"",""Payload"":""C:330LT:35.1501LG:-119.8515IT:23.8436ET:-2.9905e\u002B181IP:48225.1340EP:-3.4782e\u002B177IA:5840.8410EA:-7.6593e\u002B182MX:542MY:-311MZ:80AX:-1AY:5AZ:9GX:-1GY:0,GZ:"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,330,35.1501,-119.8515,23.8436,-2.9905e+181,48225.1340,-3.4782e+177,5840.8410,-7.6593e+182,542,-311,80,-1,5,9,-1,0,
3635915,2023-06-08 22:44:21.532146+00,2023-06-08 22:44:21.532147+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""69d0"",""Payload"":""C:341LT:35.1488LG:-119.8481IT:23.6530ET:-2.9905e\u002B181IP:47662.4599EP:-3.4782e\u002B177IA:5926.7048EA:-7.6593e\u002B182MX:345MY:-453MZ:85AX:-1AY:4AZ:9GX:-1GY:0,GZ:"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,341,35.1488,-119.8481,23.6530,-2.9905e+181,47662.4599,-3.4782e+177,5926.7048,-7.6593e+182,345,-453,85,-1,4,9,-1,0,
3635916,2023-06-08 22:50:42.880117+00,2023-06-08 22:50:42.880118+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""etcb"",""Payload"":""C:363LT:35.1414LG:-119.8252IT:22.4823ET:-2.9905e\u002B181IP:44370.1052EP:-3.4782e\u002B177IA:6446.2482EA:-7.6593e\u002B182MX:307MY:-398MZ:77AX:-1AY:4AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,363,35.1414,-119.8252,22.4823,-2.9905e+181,44370.1052,-3.4782e+177,6446.2482,-7.6593e+182,307,-398,77,-1,4,9,0,0,0
3635917,2023-06-08 22:52:28.058131+00,2023-06-08 22:52:28.058132+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""rdnv"",""Payload"":""C:374LT:35.1309LG:-119.7928IT:20.4608ET:-2.9905e\u002B181IP:39656.5978EP:-3.4782e\u002B177IA:7247.3002EA:-7.6593e\u002B182MX:278MY:-426MZ:87AX:-1AY:5AZ:9GX:-1GY:0,GZ:"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,374,35.1309,-119.7928,20.4608,-2.9905e+181,39656.5978,-3.4782e+177,7247.3002,-7.6593e+182,278,-426,87,-1,5,9,-1,0,
3635918,2023-06-08 22:53:06.753978+00,2023-06-08 22:53:06.753979+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""jze6"",""Payload"":""C:385LT:35.1297LG:-119.7880IT:20.1287ET:-2.9905e\u002B181IP:39089.8435EP:-3.4782e\u002B177IA:7348.7393EA:-7.6593e\u002B182MX:324MY:-294MZ:72AX:-1AY:4AZ:8GX:0GY:0,GZ:1"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,385,35.1297,-119.7880,20.1287,-2.9905e+181,39089.8435,-3.4782e+177,7348.7393,-7.6593e+182,324,-294,72,-1,4,8,0,0,1
3635919,2023-06-08 22:58:36.070409+00,2023-06-08 22:58:36.07041+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""i:3i"",""Payload"":""C:407LT:35.1265LG:-119.7788IT:19.4688ET:-2.9905e\u002B181IP:37857.1740EP:-3.4782e\u002B177IA:7573.5452EA:-7.6593e\u002B182MX:578MY:-453MZ:113AX:-1AY:4AZ:9GX:0GY:0,GZ:2"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,407,35.1265,-119.7788,19.4688,-2.9905e+181,37857.1740,-3.4782e+177,7573.5452,-7.6593e+182,578,-453,113,-1,4,9,0,0,2
3635920,2023-06-08 23:02:04.089094+00,2023-06-08 23:02:04.089095+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""mldt"",""Payload"":""C:429LT:35.1156LG:-119.7192IT:14.6513ET:-2.9905e\u002B181IP:30184.8317EP:-3.4782e\u002B177IA:9124.0301EA:-7.6593e\u002B182MX:290MY:-434MZ:89AX:-1AY:6AZ:12GX:1GY:4,GZ:"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,429,35.1156,-119.7192,14.6513,-2.9905e+181,30184.8317,-3.4782e+177,9124.0301,-7.6593e+182,290,-434,89,-1,6,12,1,4,
